sentence,label
"	Dalam sepajang tempoh Perintah Kawalan Pergerakan (PKP), saya menghadapi beberapa cabaran dalam pembelajaran, kerja dan juga kehidupan saya. Sebenarnya, setiap individu semestinya menghadapi masalah dan cabaran dalam kehidupan seharian masing-masing. Saya memandangkan setiap masalah dan cabaran yang saya alami dengan kepribadian yang positif.",2
"	Dengan adanya pengetahuan , saya dapat menyesuaikan diri pada masa yang sukar ini.",2
"	Dengan adanya pengetahuan mengenai Psikologi kognitif, saya lebih memahami bagaimana otak saya berfungsi untuk menyelesaikan tugasan seharian.  Saya sedar bahawa umur saya yang meningkat telah mengurangkan daya ingatan saya dan daya menumpu perhatian juga semakin lemah.  Strategi yang saya dapati dalam pembelajaran Psikologi kognitif adalah fokus pada satu tugas setiap masa, jangan sekali sekala membuat banyak tugasan serentak.  Langkah ini amat berkesan untuk saya menyelesaikan tugasan demi tugasan dengan baik.  Selain daripada itu, saya mengamalkan strategi Take Breaks antara tugasan yang saya selesaikan.   Ini dapat mengurangkan keletihan otak saya daripada melakukan tugasan yang banyak.",2
"	Dengan menyedari bahawa perhatian adalah sumber yang selektif dan terhad, psikologi dapat menemui penyelesaian yang memudahkan saya terutamanya dalam menghapai ancaman pandemik Virus Covid-19 untuk meningkatkan tumpuan dan tumpuan saya dalam menyelesaikan pelbagai tugasan seharian mahupun pembelajaran.   Selain itu, ahli psikologi mendapati bahawa walaupun ingatan jangka pendek kita cukup pendek dan terhad (bertahan hanya 20 hingga 30 saat dan mampu menahan antara lima hingga sembilan item), saya dapat mengatur strategi yang lebih berkesan supaya dapat meningkatkan kemungkinan apa yang saya baca akan dipindahkan ke memori jangka panjang, yang jauh lebih stabil dan tahan lama.  Lebih-lebih lagi bagi saya yang berumur lebih daripada 50 tahun.",2
"	Di samping itu, saya selalu membuat nota ketika belajar. Teknik belajar seperti penggunaan highliter dan catatan nota penting telah memudahkan saya untuk faham dan ingat. Hal ini telah membatu saya untuk belajar dengan lebih berkesan. Di meja tempat kerja, saya telah menyenaraikan tugasan yang perlu dilakukan dalam sticky notes dan tampal pada meja supaya dapat elak lupa. Oleh itu, saya tidak akan mengabaikan atau terlupa perkara penting.
",0
"	Disamping itu, saya juga meluangkan masa dan tidak pernah tertinggal kelas UTM saya walaupun saya sibuk dengan kerja-kerja sekolah. Saya dapat menyelesaikan juga masalah kelas atas talian dan tugasan individu serta tugasan kumpulan. Saya sentiasa berkomunikasi dengan pensyarah dan rakan sekelas saya untuk menyelesaikan masalah. Semasa membuat tugasan, saya menghadapi kekangan untuk menyelesaikanya seperti tugasan kumpulan kelas cognitif. Rakan kumpulan saya tidak mempunyai pengalaman mengajar. Tugasan kumpulan saya berkaitan dengan masalah yang sering berlaku dalam bilik darjah. Maka, saya telah mengambl keputusan untuk menyediakan satu laporan yang berkaitan dengan masalah yang sering berlaku dalam blik darjah dan kami berdua bincang antara satu sama lain untuk menyiapkan tugasan tersebut. Sama juga dengan semua tugasan kelas lain. Saya memberikan penuh kerjasama dengan rakan sekumpulan saya dan mengambil tindakan yang sesuai untuk mengatasi masalah yang kami hadapi. ",2
"	Dua orang ahli psikologi, Jean Piaget dan Barbel Inhelder pernah melaksanakan eksperimen yang bernama “Three Mountain Task” untuk mengkaji kebolehan kanak-kanak bagi mengemukakan perspektif dari sudut pandangan yang berbeza. Mereka menyediakan tiga gunung yang berbeza dari segi saiz, bentuk dan warna lalu minta kanak-kanak memerhati gunung tersebut dari pelbagai sudut. Seterusnya, Jean Piaget meletakkan satu boneka bersama dengan gunung dan minta mereka menyatakan apa yang mereka melihat dari perspektif boneka itu, tetapi mereka gagal.",1
"	Eksperimen tersebut mendapati kanak-kanak hanya boleh menyatakan apa yang mereka melihat dari perspektif mereka, tetapi mereka tidak boleh mengemukakan perspektif dari sudut pandangan boneka itu akibat mereka belum menguasai kemahiran berfikir secara logik. Oleh hal yang demikian,  saya sebagai seorang dewasa sudah menguasai berfikir secara logik dan mampu meramalkan apa yang mungkin berlaku jika saya tidak mengambil tindakan dengan segera.",1
"	Hidup memang penuh dengan cabaran, untuk meneruskan kehidupan dengan lebih baik, kita perlu sentiasa memastikan kita berada dalam keadaan yang terbaik dari segi fizikal, psikologi dan rohani.  Untuk diri saya, saya sedar bahawa cabaran, tekanan hidup, beban kerja, beban belajar(tugasan dan peperiksaan) perlu saya hadapi, saya perlukan satu tubuh badan yang sihat, psikologi yang sihat serta kerohanian yang baik.",1
"	Ilmu pengetahuan yang berkaitan dengan psikologi kognitif dapat membantu saya untuk mengurus cabaran-cabaran yang sedang saya hadapi. Psikologi kognitif membantu saya menggunakan kognitif otak untuk mengenalpasti, memproses dan menyimpan maklumat. Sebagai contoh,  kognitif membantu saya mengalami proses yang mana maklumat deria masuk diubah.",2
"	Kami juga tidak dibenarkan keluar rumah untuk berjumpa dengan kawan atau menjalankan aktiviti sosial di luar rumah. Pada masa itu, semua orang dikuarantin di rumah dan semua aktiviti sosial telah terganggu dan dihentikan.",1
"	Keduanya, saya akan sentiasa menjalin hubungan dengan rakan sekerja walaupun sekolah tidak dibuka.  Kami sentiasa bertukar fikiran dan pendapat melalui media sosial Facebook, Whatsapp atau pun Zoom.  Kami sentiasa membuat perbincangan mengenai peristiwa-peristiwa terutamanya ancaman pandemik Covid-19 dan perkara-perkara berkaitan dengan pendidikan anatara satu sama lain. Dengan ini, hubungan mesra kami dapat dikekalkan.  ",2
"	Keempat, pegangan kepada ajaran Agama Buddha juga banyak membantu saya dalam pengamalan kehidupan harmoni dan penyelesaian masalah kehidupan terutamanya dalam dunia masa kini (akibat pandemik Covid-19).  Saya perlu sentiasa mengingatkan diri saya bahawa kita sekarang berada dalam kehidupan norma baharu yang tidak dapat dielakkan.  Saya perlu membuat banyak pengubahsuaian hidup yang mahu tak mahu tidak dapat dielakkan.  Ketahanan mental dan rohani sangat diperlukan bagi semua manusia di dunia ini.  Dengan adanya ajaran-ajaran agama Buddha, saya dapat mengekalkan ketenteraman mental dan berkeyakinan untuk menyahut cabaran dengan baik.",2
"	Kementerian Pendidikan Malaysia telah memberi arahan kepada guru agar boleh menjalankan aktiviti pengajaran dan pemudahcaraan melalui dalam talian (online Learning). Cara mengajar baru ini telah mencabar guru-guru pada masa itu. Guru-guru di Malaysia telah mengalami satu perubahan cara mengajar yang baru dan tidak berlaku sebelumnya. Semua pengurusan pendidikan akan dijalankan, dilaksanakan, disemak dan dinilaik secara dalam talian.",1
"	Kesihatan rohani merupakan jalinan perasaan dalaman pada diri sendiri, kepentingan orang lain dan alam sekitar. Saya sentiasa berfikiran positif terhadap perubahan hidup dan kerja. Saya juga sentiasa memastikan minda saya aktif dan berkeinginan untuk belajar dari pengalaman hidup. Sebagai guru, saya perlu membimbing murid saya memilih jalan yang betul dalam kehidupan. Saya akan mengenal dan menghayati nilai-nilai murni serta menjadi teladan yang baik kepeda murid. Semasa saya menghdapai masalah dalam kehidupan, saya akan memastikan emosi saya stabil dan mempunyai ketahanan mental. Saya berpegang teguh pada agama saya walaupun saya menghadapai masalah yang besar.",1
"	Ketiga, saya berpeluang lebih membaca buku sejak PKP dilaksanakan.  Daripada apa yang saya baca, saya memperolehi pengetahun, pengalaman hidup, ketenteraman dan kekuatan mental.  Selain daripada itu, saya telah mengikuti sebanyak 35 ceramah atau perkongsian ilmu melalui Webinar yang dianjurkan oleh badan-badan pendidikan yang lain, ini telah memberi impak yang positif  kepada diri saya dari segi kerjaya dan juga spiritual. ",2
"	Kita hendaklah mengamalkan gaya hidup sihat dalam kehidupan seharian kerana sebahagian besar rakyat negara kita sedang mengalami masalah kesihatan yang kronik akibat amalan gaya hidup yang tidak sihat dan ketidakseimbangan kesihatan rohani dan jasmani. Kita hendaklah menjaga dan mengekalkan keseimbangan kesihatan fizikal, psikologi dan rohani.",1
"	Kita perlu mula membiasakan diri dengan mengamalkan norma baharu dan tidak menganggap norma baharu ini membebankan sebaliknya  mempraktikkannya dalam kehidupan seharian kita seperti mengamalkan penjarakan sosial, memakai pelitup muka, menjaga kebersihan dengan sering mencuci tangan dan mematuhi semua prosedur operasi standard (SOP). Saya perlu mengamalkan kehidupan norma baharu ini dengan hati yang terbuka dan tidak mengganggap amalan yang disarankan ini memberi masalah dan menyusahkan. Kata orang, alah bisa tegal biasa, sesuatu perasaan yang kurang menyenangkan itu akan hilang apabila amalan ini telah menjadi kebiasaan.",1
"	Konsep dasar psikologi dalam memandang perilaku bermasalah tentu memikirkan cara penyelesaian dibandingkan menyesali. Kognitif didefiniskan memberi bantuan dalam mencari jalan keluar atau menentukan keputusan. Kembali pada definisinya dimana kognitif dipengaruhi oleh kondisi mental seseorang, sehingga keputusan orang pasti berbeda sesuai dengan kondisi mental mereka.",1
"	Melihat dari pelbagai perspektif, berfikiran rasional dan berfikiran optimis dapat membantu saya  mengurangkan kebimbangan dan tekanan saya.  Lebih-lebih lagi pada peringkat permulaan PKP di mana kita dapati bilangan kes rakyat negara kita yang menjangkiti Virus Covid-19 semakin meningkat.  Ini memang akan menimbulkan pemikiran yang negatif pada diri saya bahawa saya dan ahli keluarga saya serta semua manusia dalam dunia berada dalam keadaan bahaya sehinggakan Dunia Ini Akan Dimusnahkan Oleh Covid-19.  Untuk menghilangkan pemikiran yang negatif ini, saya akan mengikuti Webinar yang dianjurkan oleh pelbagai pihak, pengumuman daripada WHO,  dan banyak membaca buku yang dapat membantu saya menghilangkan pemikiran negatif dan sentiasa berkeyakinan bahawa pandemic Covid-19 akan dihentikan tidak lama lagi.  Saya sentiasa mengingatkan diri saya bahawa apa yang berlaku pada diri saya adalah takdir Tuhan yang menguji kekuatan saya.  PKP diadakan demi keselamatan semua memberi saya lebih banyak masa untuk menyusun semula aktiviti harian saya dan saya berkesempatan melakukan aktiviti yang saya gemari dan lebih banyak masa untuk belajar.",1
"	Memang menjadi impian saya sejak kecil lagi supaya sentiasa belajar (sehingga ke peringkat PhD), lebih-lebih lagi saya seorang guru. Tidak dapat dinafikan bahawa terdapat kekangan masa dan tenaga apabila belajar sambil mengajar.  Namun demikian, saya tetap akan melaksanakan segala usaha ke arah itu walaupun waktu persaraan saya memakin mendekati saya. Tidak dapat dijangka, dunia sekarang menghadapi pandemik virus yang begitu luas sehingga ke semua Negara dalam bumi ini. Akan tetapi, kita sebagai Manusia yang sentiasa menempuhi halangan,  kita tidak akan berputus asa dan pasti akan menamatkan penularan virus Covid-19 ini tidak lama lagi.  Sementara itu, saya akan membuat beberapa pengubahsuaian kehidupan saya ke arah kehidupan norma baharu.  Beberapa langkah yang saya lakukan berdasarkan pegangan-pegangan saya seperti mana yang berikut :",1
"	Mengikut satu kajian yang diterbitkan oleh International Journal of Research and Public Health baru-baru ini,  terdapat 53.8 peratus responden melaporkan impak psikologi yang sederhana sehingga teruk akibat wabak COVID-19. Daripada jumlah ini, 16.5 peratus melaporkan gejala kemurungan, 28.8  peratus melaporkan gejala gemuruh (anxiety) dan 8.1 peratus melaporkan gejala stres. Akan tetapi  mereka yang mempunyai pengetahuan tepat tentang wabak serta tindakan berjaga-jaga yang harus diambil mempunyai impak psikologi yang lebih rendah. Maka, untuk mengurangkan  impak psikologi termasuklah gejala kemurungan, gemuruh dan stres,   saya sentiasa mengurus emosi dan mental secara berhati-hati. Saya  faham saya perlu menambah pengetahuan saya dan mendapatkan maklumat yang sah tentang wabak ini dan jangan dipengaruhi oleh berita-berita palsu yang ditular di media massa. Namun begitu, memandangkan pengalaman mendepani COVID-19 merupakan pengalaman baharu yang kita semua alami.  Kita patutlah menganggap pengalaman ini sebagai cabaran hidup yang ditakdirkan oleh Tuhan untuk menguji ketabahan kita.  ",1
"	Menurut   Pertubuhan   Kesihatan   Sedunia   (WHO)   (1998),  kesihatan merujuk kepada suatu keadaan kesempurnaan fizikal, mental dan sosial yang mencukupi, dan bukannya hanya ketiadaan penyakit atau kelemahan. Kesihatan fizikal merujuk kepada sesuatu keadaan individu bebas daripada kesakitan, ketidakupayaan fizikal, penyakit kronik dan penyakit berjangkit serta ketidakselesaan tubuh badan yang memerlukan  perhatian   daripada pakar   perubatan. Kesihatan   mental pula adalah situasi dimana seseorang individu menyedari potensinya boleh berdaya tindak terhadap stres kehidupan, boleh bekerja dengan  produktif  dan  boleh   menyumbang  kepada  masyarakat. Kesihatan mental juga merujuk kepada cara kita berfikir, merasa dan cara kita bertindak.",1
"	Mula-mula, sebagai seorang rakyat Malaysia yang bertanggungjawab,  haruslah saya menyambut dengan sikap positif cabaran memutuskan penularan Pandemik COVID-19 yang diseru oleh  kerajaan.  Saya harus menukar cara hidup saya,  iaitu Stay At Home.  Saya tidak dapat keluar dari rumah sesuka hati.  Pada peringkat permulaannya, saya masih dapat mengawal diri dari segi fizikal mahupun mental.  Tetapi, bila PKP dilanjutkan dari fasa pertama sehingga ke fasal PKPP, saya mula merasai tekanan mental sedikit demi sedikit, Bilakah kehidupan sebegini akan berakhir? Adakah Virus COVID-19 dapat dihapuskan sama sekali?Adakah kehiudpan norma baharu kita akan menjadi kehidupan kita selama-lamanya?asyik tertanya-tanya di dalam otak saya.  Saya mengalami tekanan hidup!  ",2
"	Murid-murid juga menghadapi cara belajar yang baharu pada masa itu. Mereka memerlukan kemudahan dan alatan yang lengkap baru dapat belajar secara dalam talian.   Tetapi ,  kebanyakan murid menghadapi masalah kekurangan kemudahan dan peralatan belajar seperti telefon pintar dan wifi yang secukupnya. Apabila murid tidak dapat belajar melalui dalam talian. Guru pun juga akan menghadapi masalah mengajar. Hal ini demikian kerana pengajaran dan pemudahcaraan perlu dilaksanakan atau dijalankan oleh dua pihak iaitu guru dan murid baru boleh mencapai objektif pengajaran dan pembelajaran. Salah satu pihak menghadapi maslaah akan menyebabkan proses pengajaran dan pemudahcaraan tidah berjaya.",0
"	Oleh kerana semua ahli keluarga berada di dalam rumah sepanjang KPK, suasana dan cara berinteraksi dengan ahli keluarga juga harus diurus dengan baik untuk mengelakkan perselisihan dan pertengkaran antara satu sama lain, terutamanya mempunyai anak yang masih remaja dan sedang belajar. Ini kerana institusi pendidikan baik sekolah rendah, sekolah menengah, mahupun IPG semua sudah ditutup, anak-anak yang sedang belajar berada di rumah dan semuanya belajar melalui talian. Jika anak-anak tidak bedisiplin, ini akan menambah lagi cabaran saya sebagai ibu. Selain perlu mengambil berat tentang pendidikan mereka, malah kesihatan mental dan psikologi anak-anak juga juga tidak boleh dipandang ringan.",1
"	Pada awal fasa PKP saya melihat diri saya tidak bersedia untuk menghadapi keadaan dalam fasa PKP.  Ini kerana pada cuti sekolah penggal pertama sebelum PKP dikuatkuasakan, saya merancang untuk pulang ke kampung. Apabila dikuatkuasakan PKP perancangan terpaksa ditukar dan perlu merancang aktiviti sepanjang berada bersama anak-anak di rumah. Ini dapat dilihat apabila saya sering tertekan dengan keadaan di rumah dan permintaan anak-anak untuk keluar berjalan-jalan di luar.",0
"	Pada awal PKP, raykat dihalang keluar dari rumah kecuali membeli barang kehidupan. Gimnasium juga tidak dibenarkan untuk membuka kepada ahli gimnastik menjalankan gimnastik. Penularan penyakit koronavirus sangat luas dan kuat. Penyakit koronavirus boleh dijangkit melalui udara atau sentuh.",1
"	Pada masa itu, diet harian juga menjadi satu masalah kepada saya. Barang susah diperoleh pada masa itu. Sebelum ini, kami boleh membeli makanan di kedai atau kafe, tetapi sekarang hanya boleh memasak di rumah. ",0
"	Pada masa yang keras itu, saya juga mempercayai semua rakyat Malaysia telah mengalami pengalaman yang unik dan berbeza termilik oleh sendiri. Saya juga mengalami masalah dan perasaan pada tempoh PKP. Pada masa itu, semua orang tidak boleh keluar dari rumah kecuali menjalankan aktiviti pembelian barang kehidupan sahaja. Kami tidak pernah mengalami sepanjang masa yang lama dalam di rumah dan perlu menghadapi ahli keluarga dengan masa yang lama.",0
"	Pada mula-mula PKP dilaksanakan, saya hendaklah bekerja dari waktu siang hingga waktu malam kerana belum menguasai kemahiran aplikasi Google Classroom dan sebagainya. Selepas menguasai kemahiran-kemahiran tersebut, saya hendaklah menghubungi para ibu bapa untuk mengajar mereka cara penggunaan perisian dan membantu mereka mengatasi semua masalah yang dihadapi oleh mereka. Seterusnya, guru besar sentiasa mengambil berat hasil kerja saya dan rakan sekerja dan kami menggunakan Google Meet untuk melaksanakan mesyuarat secara atas talian untuk melaporkan hasil kerja masing-masing.",2
"	Pada mula-mulanya, saya tidak setuju dengan kaedah pengajaran dan pembelajaran atas talian kerana negara kita belum mempraktikkan kaedah ini dalam sektor pendidikan walaupun kita berada dalam era digital revolusi terkini. Tambahan pula, saya belum sedia oleh sebab saya tidak pernah mengaplikasikan Google Classroom dalam pengajaran saya. Saya juga berasa bimbang bolehkah saya menjayakan pendidikan secara atas talian.",0
"	Pada mula-mulanya, saya tidak sudi untuk mengaplikasikan Google Classroom dalam pengajaran saya dan menolak strategi ini dalam tempoh PKP. Faktor utama ialah saya menganggap bukan semua murid akan mengakses Google Classroom dan menyiapkan kerja rumah secara atas talian. Sekolah saya terletak di sebuah kampung luar bandar, kebanyakan rumah murid-murid menerima isyarat internet 3G yang sangat lemah dan mengalami masalah kelajuan internet.",0
"	Pada tempoh antara bulan Mac hingga Jun tahun 2020, semua rakyat Malaysia telah mengalami satu perkara yang tidak pernah berlaku sebelumnya, iaitu Perintah Kawalan Pergerakan ( PKP ). ",1
"	Pengetahuan psikologi kognitif dapat membantu saya mengatasi dengan cabaran yang saya hadapi sekarang. Pengetahuan ini amat berguna kepada saya kerana ia dapat membantu saya memahami masalah yang dihadapi oleh murid. Sabagai guru, saya perlu menguasai teori-teori perkembangan kanak-kanak. Penguasaan toeri psikologi kognitif adalah penting kepada saya semasa menjalankan proses pengajaran dan pembelajaran di bilik darjah dan pengajaran atas talian. Sebagai guru, saya dapat meningkatkan pengetahuan sedia ada murid melalui pelbagai aktiviti pengajaran dan pembelajaran yang berkesan. ",2
"	Penutupan sekolah sepanjang tempoh PKP menyebabkan guru dan murid tidak dibenarkan untuk hadir ke sekolah. Hal ini menyebabkan rancangan pengajaran tahunan terganggu. Untuk memastikan murid dapat terus menimba ilmu sepanjang PKP, pengajaran dalam talian seperti google classroom perlu diadakan untuk memastikan pembelajaran tetap lancar walaupun murid tidak boleh datang ke sekolah. Perkara ini menjadi satu cabaran bagi saya kerana saya kurang pengalaman dalam pengajaran dalam talian dan tidak mahir dalam penggunaan aplikasi pengajaran atas talian. Jadi, perlulah saya untuk menhadapi cabaran untuk sendiri mempelajari kemahiran baru bagi meningkatkan kemahiran dalam teknologi maklumat, pedagogi dan penilaian dalam talian. Selain itu, pengajaran dalam talian saya menjadi lagi bertambah mencabar apabila terdapat murid yang bersikap malas untuk menghadiri kelas maya.  Kebanyakan murid belum menyesuaikan diri dengan perubahan norma pembalajaran. Oleh itu, mereka tidak bermotivasi untuk menghadiri kelas maya. ",0
"	Penyaluran material pengajaran kepada pelajar sarjana melalui portal e-learning memudahkan saya untuk mendapatkan bahan pembelajaran. Apabila berhadapan dengan cabaran penyesuaian diri dengan kaedah penyampaian pembelajaran secara maya, saya perlu bijak mengolah maklumat tersebut kepada pembelajaran secara virtual-learning dan remote-learning. Saya perlu memastikan saya hadir kuliah dalam talian dan berbincang kerja kursus bersama ahli kumpulan dalam talian atau whatapps. Bimbingan pembelajaran oleh pensyarah dalam talian dan melalui whatapps serta perbincangan bersama ahli kumpulan melalui whatapps telah membantu saya dalam menyiapkan kerja kursus.",1
"	Perceiving myself dealing with those challenges just make me realize that I might have failed an area in my life. Pursuing Masters should be one of the biggest and proud achievement of my life, albeit all the hardship that I expected. Though the challenges are very painful and saddening, I still understand that discipline and focus that are wired to the brain is very important to make sure I have full access to my work progress. I am very happy to have known and learnt this course. I feel so honored to have the opportunity to learn about my brain, the processing skill and how do I handle things. Using this knowledge really makes me realize that we are humans and every one of us unique to their own. ",2
"	Perkara-perkara seperti pemikiran, persepsi, perhatian dan ingatan merupakan isu-isu yang dirangkumi dalam psikologi kognitif. Minda manusia mengalami proses kognitif pada bila-bila masa, misalnya kita sentiasa mengalami perubahan bagi aspek emosi, pemikiran dan pertumbuhan kepribadian. Jadi, kita menerima perasaan dan persepsi yang berbeza dengan situasi yang berbeza.",1
